playerId,playerName,country,SG: Total(Avg),SG: Total(Total SG:T2G),SG: Total(Total SG:P),SG: Total(Measured Rounds),SG: Off-the-Tee(Total SG:OTT),SG: Approach the Green(Total SG:APP),SG: Around-the-Green(Total SG:ARG),SG: Putting(Avg),SG: Putting(Total SG:Putting),Driving Distance(Avg),Scrambling(%),Scrambling(Missed GIR),Overall Putting Average(Avg),Career Earnings(Money),Scoring Average (Actual)(Avg),Greens in Regulation Percentage(%),Victory Leaders(Victories),Money per Event Leaders(Money per event),Money per Event Leaders(Total money),Top 10 Finishes(Top 10),Hit Fairway Percentage(%),age,education,Winner_dummy
28237,Rory McIlroy,Northern Ireland,2.115,84.208,25.762,52,40.068,32.565,11.543,0.495,25.762,321.3,62.77,325,1.587,66174549.0,68.9,69.91,3,540910,8654566.0,10,57.34,34.0,outside the US,1
40098,Matt Fitzpatrick,England,1.792,65.65,20.385,48,30.505,13.433,21.709,0.425,20.385,303.8,69.62,418,1.602,14115452.0,69.5,66.83,1,350634,7012672.0,10,62.52,28.0,Northwestern University,1
47483,Will Zalatoris,United States,1.767,100.913,-0.188,57,34.29,60.59,6.019,-0.003,-0.188,314.7,58.54,398,1.621,12907308.0,69.55,70.91,1,391878,9405082.0,9,54.53,27.0,Wake Forest University,1
33448,Justin Thomas,United States,1.68,96.939,5.553,61,32.8,42.441,21.683,0.091,5.553,314.3,64.67,433,1.569,50915400.0,68.84,68.35,1,325218,6829576.0,10,54.46,30.0,University of Alabama,1
46046,Scottie Scheffler,United States,1.677,97.362,13.304,66,23.482,54.035,19.829,0.202,13.304,311.6,59.9,419,1.603,21550888.0,68.89,72.29,4,561876,14046910.0,11,57.55,27.0,University of Texas,1
39971,Sungjae Im,South Korea,1.668,100.652,24.48,75,48.826,23.105,28.691,0.326,24.48,303.7,66.02,462,1.605,16947382.0,69.22,70.83,1,214153,5567974.0,9,64.53,25.0,Korea National Sport University,1
46970,Jon Rahm,Spain,1.656,70.938,20.167,55,56.372,19.948,-5.4,0.367,20.167,318.9,57.54,358,1.648,35024042.0,69.59,71.59,1,276222,5248220.0,8,62.39,28.0,Arizona State University,1
48081,Xander Schauffele,United States,1.652,74.616,19.561,57,21.217,39.958,13.41,0.343,19.561,308.5,62.04,382,1.605,30451257.0,68.94,70.52,3,353681,7427299.0,7,62.49,29.0,San Diego State University,1
35450,Patrick Cantlay,United States,1.522,60.091,19.074,52,27.343,18.882,13.85,0.367,19.074,308.0,65.43,376,1.592,31650364.0,69.01,69.28,2,468480,9369605.0,12,59.54,31.0,UCLA,1
29725,Tony Finau,United States,1.499,99.974,6.486,71,38.535,46.796,14.622,0.091,6.486,308.0,63.6,445,1.61,31511352.0,69.17,71.25,2,244715,6117886.0,7,58.16,33.0,outside the US,1
35891,Cameron Smith,Australia,1.433,42.601,27.604,49,-6.142,37.772,10.941,0.563,27.604,299.7,59.94,357,1.56,27037033.0,68.89,68.01,3,561550,10107897.0,7,56.12,30.0,outside the US,1
47504,Sam Burns,United States,1.39,57.804,38.13,69,4.628,38.22,14.939,0.553,38.13,309.6,59.65,451,1.598,14604743.0,69.36,68.68,3,294749,7073986.0,8,54.98,27.0,Louisiana State University,1
39977,Max Homa,United States,1.343,68.221,25.814,70,29.769,26.879,11.54,0.369,25.814,306.3,59.96,502,1.587,12849354.0,69.87,65.99,2,220410,5289842.0,5,60.02,32.0,University of California-Berkeley,1
45486,Joaquin Niemann,Chile,1.274,77.447,-3.551,58,31.608,30.584,15.227,-0.061,-3.551,309.1,61.9,462,1.591,14571584.0,69.5,67.92,1,211502,5076060.0,5,55.79,24.0,outside the US,1
57366,Cameron Young,United States,1.265,78.711,9.859,70,64.001,6.851,7.843,0.141,9.859,319.3,62.55,518,1.564,6520598.0,69.65,64.91,0,260824,6520598.0,7,58.03,26.0,Wake Forest University,0
34098,Russell Henley,United States,1.192,85.274,-10.19,63,3.763,61.05,20.444,-0.162,-10.19,298.7,56.86,408,1.613,20579939.0,69.54,70.94,0,128977,2837505.0,4,67.2,34.0,University of Georgia,0
33204,Shane Lowry,Ireland,1.175,48.628,7.778,48,7.702,32.579,8.316,0.162,7.778,306.9,67.46,335,1.599,14541171.0,69.66,67.91,0,200927,3616679.0,4,60.12,36.0,University College Dublin,0
39997,Corey Conners,Canada,1.143,88.16,-7.037,71,49.724,42.698,-4.279,-0.099,-7.037,302.7,59.09,440,1.652,13041294.0,69.7,71.9,0,155064,3876590.0,4,66.03,31.0,Kent State University,0
47529,Mito Pereira,Chile,1.111,82.396,0.891,75,28.946,50.933,3.505,0.012,0.891,303.9,61.81,487,1.624,3168273.0,69.91,69.6,0,103627,2797925.0,3,61.28,28.0,Texas Tech University,0
39546,Keith Mitchell,United States,1.074,62.271,15.079,72,54.809,1.747,5.684,0.209,15.079,311.8,63.67,501,1.614,9812089.0,69.51,67.64,0,118013,3068341.0,6,62.31,31.0,University of Georgia,0
33141,Keegan Bradley,United States,1.053,65.1,4.403,66,28.609,28.854,7.607,0.067,4.403,307.5,58.32,487,1.604,31532208.0,70.15,66.18,0,144925,3623137.0,6,61.42,37.0,St. John's University,0
49964,Aaron Wise,United States,1.053,73.338,7.722,77,29.805,37.617,5.883,0.1,7.722,308.3,62.63,479,1.605,10836057.0,69.42,69.06,0,143938,3454521.0,4,60.23,27.0,University of Oregon,0
30911,Tommy Fleetwood,England,1.05,27.002,15.011,40,1.077,7.231,18.679,0.375,15.011,301.5,64.45,346,1.596,13814632.0,69.8,65.67,0,169059,2874008.0,5,59.73,32.0,outside the US,0
34363,Tyrrell Hatton,England,1.034,14.026,35.622,48,-2.238,7.326,8.922,0.742,35.622,305.7,57.0,414,1.578,13153331.0,70.23,64.06,0,149989,2849792.0,3,53.6,31.0,outside the US,0
29420,Billy Horschel,United States,1.031,32.066,24.636,55,13.008,-3.699,22.74,0.448,24.636,297.3,62.59,401,1.606,33371835.0,69.8,68.17,1,224573,4940600.0,5,63.88,36.0,University of Florida,1
46402,Talor Gooch,United States,1.022,55.954,0.275,55,-7.574,35.904,27.609,0.005,0.275,304.4,60.71,392,1.592,9153099.0,69.45,69.33,1,169045,3718990.0,4,61.1,31.0,Oklahoma State University Education,1
32839,Hideki Matsuyama,Japan,1.015,59.492,-1.615,57,7.216,40.499,11.757,-0.028,-1.615,304.7,64.23,411,1.595,40289424.0,69.49,68.29,2,275062,5776298.0,6,57.51,31.0,Tohoku Fukushi University,1
30926,Chris Kirk,United States,0.999,64.97,-2.061,63,23.123,16.139,25.679,-0.033,-2.061,300.1,62.89,512,1.606,21943154.0,70.1,66.14,0,96357,2408913.0,4,64.58,38.0,University of Georgia,0
50525,Collin Morikawa,United States,0.978,51.162,-4.237,48,17.312,41.009,-7.173,-0.088,-4.237,301.8,59.59,339,1.597,18902937.0,69.63,68.61,0,254593,4837271.0,8,65.37,26.0,University of California-Berkeley,0
34046,Jordan Spieth,United States,0.839,63.828,-12.624,61,20.438,25.355,18.006,-0.207,-12.624,308.4,61.98,434,1.606,52769335.0,69.74,67.42,1,228111,5018444.0,6,55.42,30.0,University of Texas,1
47993,Denny McCarthy,United States,0.837,1.626,71.169,87,-15.927,-5.166,22.705,0.818,71.169,291.6,65.54,624,1.579,6697802.0,69.81,65.33,0,99406,2882771.0,5,64.81,30.0,University of Virginia,0
31323,Gary Woodland,United States,0.804,42.831,2.176,56,16.986,17.787,8.041,0.039,2.176,309.9,61.05,421,1.629,31167350.0,70.61,66.1,0,86641,1992732.0,5,55.81,39.0,University of Kansas,0
26851,Marc Leishman,Australia,0.784,17.477,31.921,63,-1.312,10.452,8.321,0.507,31.921,307.1,61.24,436,1.593,35216825.0,70.11,66.36,0,87633,2015561.0,3,55.56,39.0,outside the US,0
35532,Tom Hoge,United States,0.768,57.506,-0.645,74,4.269,49.105,4.117,-0.009,-0.645,298.1,64.26,582,1.591,11414318.0,69.94,66.32,1,134689,4310046.0,6,60.85,34.0,Texas Christian University,1
46717,Viktor Hovland,Norway,0.768,21.247,21.773,56,23.71,33.938,-36.432,0.389,21.773,308.4,59.38,416,1.594,12577543.0,69.74,66.98,1,231831,4868461.0,5,60.7,25.0,Oklahoma State University,1
23108,Matt Kuchar,United States,0.756,12.709,32.663,60,-16.319,-2.117,31.131,0.544,32.663,287.9,69.2,461,1.548,54918469.0,69.77,63.93,0,102565,2051300.0,3,62.97,45.0,Georgia Tech,0
45522,Christiaan Bezuidenhout,South Africa,0.753,5.516,35.898,55,-1.949,6.627,0.83,0.653,35.898,291.6,66.05,489,1.59,3237314.0,69.95,66.04,0,93054,2233289.0,1,61.87,29.0,outside the US,0
49771,J.T. Poston,United States,0.697,33.392,22.334,80,14.439,1.474,17.461,0.279,22.334,298.2,64.9,527,1.604,10303333.0,69.78,66.73,1,109748,3292443.0,4,59.31,30.0,Western Carolina University,1
46442,Maverick McNealy,United States,0.683,16.737,33.131,73,20.194,-0.264,-3.21,0.454,33.131,307.4,57.98,526,1.579,6155931.0,69.75,66.79,0,99621,2689754.0,4,57.83,27.0,Stanford University,0
21961,Charles Howell III,United States,0.68,41.153,-9.181,47,18.688,3.018,19.431,-0.195,-9.181,304.1,60.28,282,1.62,42025458.0,69.74,70.99,0,64125,1026002.0,1,62.37,44.0,Oklahoma State University,0
33399,Adam Hadwin,Canada,0.678,41.837,9.658,76,-6.4,20.825,27.399,0.127,9.658,297.2,61.61,521,1.607,15499571.0,70.08,67.84,0,99015,2574396.0,5,63.18,35.0,University of Louisville,0
40250,Taylor Pendrith,Canada,0.619,41.96,-5.455,59,34.873,6.811,0.271,-0.092,-5.455,316.1,60.53,375,1.631,2602799.0,69.75,70.66,0,110992,2330840.0,3,56.85,32.0,Kent State University,0
24502,Adam Scott,Australia,0.619,21.435,17.573,63,9.956,16.147,-4.702,0.279,17.573,312.4,57.76,419,1.612,59873599.0,70.08,67.67,0,145660,2913198.0,5,54.41,43.0,University of Nevada-Las Vegas,0
27644,Brian Harman,United States,0.608,37.228,9.0,76,9.66,13.423,14.116,0.118,9.0,292.2,62.89,539,1.614,23722648.0,69.9,67.09,0,119513,3226839.0,6,65.4,36.0,University of Georgia,0
36801,Mark Hubbard,United States,0.6,19.847,13.154,55,-7.141,27.158,-0.179,0.239,13.154,288.3,63.92,388,1.595,4997382.0,69.53,68.3,0,53626,1179782.0,2,63.97,34.0,San Jose State University,0
47995,Davis Riley,United States,0.578,38.631,8.776,82,25.624,13.23,-0.239,0.107,8.776,307.6,57.78,559,1.586,3315920.0,69.89,66.96,0,110027,3190793.0,6,62.24,26.0,University of Alabama,0
