playerId,playerName,country,SG: Total(Avg),SG: Total(Total SG:T2G),SG: Total(Total SG:P),SG: Total(Measured Rounds),SG: Off-the-Tee(Total SG:OTT),SG: Approach the Green(Total SG:APP),SG: Around-the-Green(Total SG:ARG),SG: Putting(Avg),SG: Putting(Total SG:Putting),Driving Distance(Avg),Scrambling(%),Overall Putting Average(Avg),Career Earnings(Money),Scoring Average (Actual)(Avg),Greens in Regulation Percentage(%),Victory Leaders(Victories),Money per Event Leaders(Money per event),Money per Event Leaders(Total money),Top 10 Finishes(Top 10),Hit Fairway Percentage(%),age,education,turnedPro,Winner_dummy
46046,Scottie Scheffler,United States,2.502,191.906,-16.74,70,73.561,91.012,28.223,-0.239,-16.74,309.5,63.9,1.612,42565229.0,68.19,74.47,2,916873,19254342,15,62.6,27,University of Texas,2018,1
28237,Rory McIlroy,Northern Ireland,2.22,114.091,5.806,54,55.221,44.875,20.719,0.108,5.806,325.7,60.37,1.579,80095557.0,68.97,67.96,2,808188,12931008,11,53.76,34,outside the US,2007,1
35450,Patrick Cantlay,United States,1.928,90.495,21.334,58,48.617,27.972,8.898,0.368,21.334,308.0,63.53,1.58,42023361.0,68.9,69.61,0,528474,10040998,9,65.27,31,UCLA,2012,0
46970,Jon Rahm,Spain,1.87,80.684,24.035,56,25.773,45.161,6.755,0.429,24.035,313.3,62.01,1.58,51546651.0,68.76,70.48,4,910200,16383608,10,55.08,28,Arizona State University,2016,1
30911,Tommy Fleetwood,England,1.763,72.593,29.685,58,17.666,21.633,20.691,0.512,29.685,301.6,65.2,1.559,20325273.0,69.43,64.29,0,333205,6330891,8,61.58,32,outside the US,2010,0
48081,Xander Schauffele,United States,1.756,64.021,37.818,58,16.785,45.98,2.449,0.652,37.818,302.6,63.36,1.58,38874112.0,69.21,68.19,0,390143,7802856,9,57.77,29,San Diego State University,2015,0
34363,Tyrrell Hatton,England,1.737,69.459,38.264,62,32.578,31.181,4.958,0.617,38.264,305.8,64.22,1.574,21490243.0,69.53,66.37,0,432364,8214912,7,59.58,31,outside the US,2011,0
39977,Max Homa,United States,1.679,71.246,44.6,69,17.37,35.019,14.035,0.646,44.6,303.3,64.32,1.562,23355720.0,69.26,66.45,2,441653,9716367,10,60.13,32,University of California-Berkeley,2013,1
46717,Viktor Hovland,Norway,1.535,88.201,13.143,66,45.335,40.88,1.633,0.199,13.143,307.3,61.55,1.571,26689778.0,69.1,67.59,2,500583,10512235,7,62.45,25,Oklahoma State University,2019,1
32102,Rickie Fowler,United States,1.499,88.654,26.808,77,12.549,55.761,18.28,0.348,26.808,307.5,62.0,1.578,48911847.0,69.3,68.31,1,333421,7668686,8,58.81,34,Oklahoma State University,2009,1
50525,Collin Morikawa,United States,1.45,88.301,-4.181,58,26.197,55.013,3.716,-0.072,-4.181,293.7,58.74,1.614,24946135.0,69.48,70.47,0,266520,5863448,5,68.19,26,University of California-Berkeley,2019,0
29725,Tony Finau,United States,1.203,90.822,-7.837,69,16.512,51.487,13.849,-0.114,-7.837,303.7,61.94,1.617,37379004.0,69.55,69.03,2,261802,5759652,5,60.97,33,outside the US,2007,1
22405,Justin Rose,England,1.193,42.587,21.843,54,-5.265,28.547,14.554,0.405,21.843,295.2,62.78,1.568,61819359.0,69.71,65.85,1,231901,4406120,5,61.46,43,outside the US,1998,1
51766,Wyndham Clark,United States,1.174,66.947,29.301,82,21.117,33.823,17.873,0.357,29.301,313.5,62.11,1.579,15679535.0,69.5,67.52,2,400980,10425490,7,55.29,29,University of Oregon,2017,1
39971,Sungjae Im,South Korea,1.15,74.82,18.312,81,38.383,14.14,21.272,0.226,18.312,298.3,63.04,1.583,23434803.0,69.41,66.38,0,206872,5792421,8,63.64,25,Korea National Sport University,2015,0
39997,Corey Conners,Canada,1.067,76.875,-4.338,68,35.914,37.737,-1.337,-0.064,-4.338,300.2,57.93,1.625,18562777.0,69.79,69.37,1,229131,5040882,4,61.51,31,Kent State University,2015,1
28089,Jason Day,Australia,1.062,37.786,25.919,60,22.87,1.501,12.851,0.432,25.919,303.6,66.82,1.568,57013845.0,69.57,66.52,1,311125,6844758,8,61.28,35,outside the US,2006,1
47993,Denny McCarthy,United States,1.0,21.072,63.957,85,-3.311,5.273,11.365,0.752,63.957,295.9,64.23,1.573,13147014.0,69.57,66.2,0,213165,5968612,6,61.69,30,University of Virginia,2015,0
40098,Matt Fitzpatrick,England,0.966,24.873,32.131,59,11.42,5.484,12.12,0.545,32.131,303.8,64.27,1.568,22259995.0,70.04,65.3,1,304026,6384543,4,55.85,28,Northwestern University,2014,1
24502,Adam Scott,Australia,0.927,24.198,24.012,52,27.654,-3.543,9.929,0.462,24.012,313.4,57.98,1.577,62924220.0,69.98,65.19,0,179448,3050621,4,53.05,43,University of Nevada-Las Vegas,2000,0
33141,Keegan Bradley,United States,0.909,30.285,27.008,63,16.468,21.572,-1.338,0.429,27.008,303.5,57.62,1.599,40429538.0,69.89,67.19,2,416230,8740830,5,58.95,37,St. John's University,2008,1
34098,Russell Henley,United States,0.906,65.15,-5.378,66,9.004,28.739,16.856,-0.081,-5.378,290.9,64.08,1.597,26761721.0,69.51,68.27,1,252808,5561782,4,71.15,34,University of Georgia,2011,1
32839,Hideki Matsuyama,Japan,0.902,71.402,-8.295,70,6.035,43.727,21.765,-0.119,-8.295,296.5,64.54,1.594,44146452.0,69.88,67.07,0,160710,3857028,2,60.06,31,Tohoku Fukushi University,2013,0
55182,Tom Kim,South Korea,0.895,61.151,-0.298,68,13.692,43.769,3.528,-0.004,-0.298,296.6,61.63,1.597,9185756.0,69.33,69.44,1,240930,5782318,7,66.6,21,outside the US,2018,1
47591,Eric Cole,United States,0.888,32.063,51.451,94,-28.292,37.36,15.821,0.547,51.451,297.7,64.17,1.54,3381521.0,69.44,64.31,0,102380,3173771,3,53.98,35,Nova Southeastern University,2009,0
37455,Si Woo Kim,South Korea,0.886,87.712,-19.507,77,33.106,38.103,11.205,-0.253,-19.507,296.7,63.14,1.581,22169854.0,69.94,65.74,1,201579,5241062,5,67.66,28,Yonsei University,2012,1
34046,Jordan Spieth,United States,0.862,44.058,5.914,58,14.409,14.269,15.346,0.102,5.914,303.1,63.12,1.576,60009379.0,70.12,64.62,0,355902,7118044,7,55.14,30,University of Texas,2012,0
36799,Stephan Jaeger,Germany,0.833,85.728,-5.715,96,26.104,19.484,37.442,-0.06,-5.715,306.1,62.44,1.612,4761900.0,69.44,69.44,0,79662,2310202,2,57.32,34,University of Tennessee-Chattanooga,2012,0
33204,Shane Lowry,Ireland,0.822,52.46,-6.398,56,20.547,24.407,4.577,-0.114,-6.398,303.8,56.65,1.621,17129877.0,70.44,66.31,0,143817,2588707,1,62.03,36,University College Dublin,2009,0
30926,Chris Kirk,United States,0.821,49.333,10.59,73,-1.312,26.757,21.105,0.145,10.59,296.5,62.87,1.582,26039489.0,69.97,65.63,1,151532,3939834,4,58.78,38,University of Georgia,2007,1
27644,Brian Harman,United States,0.797,26.035,31.328,72,13.799,2.68,2.943,0.435,31.328,293.5,67.44,1.574,32873672.0,69.32,67.19,1,334441,8361023,6,66.3,36,University of Georgia,2009,1
34256,Andrew Putnam,United States,0.792,14.065,54.037,86,-39.795,39.617,11.363,0.628,54.037,284.5,64.51,1.607,13204673.0,69.62,68.55,0,126274,3661939,4,63.38,34,Pepperdine University,2011,0
47504,Sam Burns,United States,0.769,13.107,39.978,69,19.906,-8.913,2.586,0.579,39.978,310.5,61.07,1.563,21743793.0,70.17,63.28,1,283627,6807050,5,55.57,27,Louisiana State University,2017,1
33448,Justin Thomas,United States,0.711,58.81,-13.993,63,13.382,20.588,25.884,-0.222,-13.993,308.0,58.7,1.608,54137404.0,70.5,64.79,0,161100,3222003,3,56.77,30,University of Alabama,2013,0
33948,Byeong Hun An,South Korea,0.698,79.388,-17.251,89,37.816,7.596,36.023,-0.194,-17.251,315.6,65.34,1.557,13011702.0,69.74,64.13,0,104792,3143760,4,52.82,31,University of California-Berkeley,2011,0
